country_name,year,mental_health_value,indicator_code
MWI,2007,23.67205079,MH_12
GTM,2019,9.894463818,MH_12
KOR,2013,24.28632662,MH_12
MLT,2020,2.517146968,MH_12
GHA,2014,14.7832161,MH_12
BDI,2021,23.97339621,MH_12
AMR,2007,3.463838034,MH_12
TZA,2007,13.87435706,MH_12
SEAR,2008,12.86494942,MH_12
SVK,2010,20.24882631,MH_12
GNQ,2002,5.654835323,MH_12
SSD,2010,16.15098766,MH_12
HND,2003,7.611831452,MH_12
DZA,2020,1.850109835,MH_12
BRA,2020,6.360248193,MH_12
GMB,2019,5.367602753,MH_12
UKR,2007,45.38657634,MH_12
CIV,2021,12.66586382,MH_12
EUR,2021,4.286260192,MH_12
AFR,2013,11.14617876,MH_12
IRQ,2013,7.112716991,MH_12
HTI,2004,7.626766324,MH_12
IRN,2019,4.178198188,MH_12
BGR,2012,8.837732979,MH_12
DZA,2018,2.17574068,MH_12
TCD,2019,6.204330061,MH_12
MKD,2011,2.357544003,MH_12
DEU,2007,8.961540706,MH_12
BGD,2017,4.243764841,MH_12
FSM,2013,36.47085805,MH_12
CHE,2003,19.65263275,MH_12
MEX,2000,1.168510044,MH_12
QAT,2006,2.648512188,MH_12
IRL,2016,3.727797024,MH_12
GRC,2014,6.580795323,MH_12
MEX,2012,1.956244179,MH_12
HTI,2005,7.62778859,MH_12
MKD,2020,1.674363594,MH_12
USA,2002,17.23352505,MH_12
KIR,2001,37.81872545,MH_12
LBY,2021,5.102921402,MH_12
JPN,2020,19.45267316,MH_12
RWA,2001,23.4333555,MH_12
MDA,2005,35.79854046,MH_12
ZMB,2012,21.6539277,MH_12
HND,2005,4.519902295,MH_12
ECU,2019,13.66991005,MH_12
LTU,2018,37.99993494,MH_12
AMR,2021,14.6387808,MH_12
SRB,2013,6.036516077,MH_12
AUS,2015,12.27775895,MH_12
CHE,2015,15.43845672,MH_12
WB_LI,2013,10.31850013,MH_12
BEN,2000,5.338039824,MH_12
MDA,2008,33.58713303,MH_12
CYP,2004,1.238267166,MH_12
BGR,2015,2.792914141,MH_12
ISR,2009,2.612983479,MH_12
MDA,2019,3.24268749,MH_12
PRY,2016,6.112266432,MH_12
HRV,2003,14.84777372,MH_12
TZA,2008,13.72924785,MH_12
SVN,2021,13.19910584,MH_12
ALB,2008,6.930883492,MH_12
KAZ,2011,46.81261732,MH_12
MWI,2003,23.51895921,MH_12
MRT,2006,6.55026084,MH_12
KAZ,2010,9.641978724,MH_12
COL,2021,7.663308009,MH_12
JPN,2002,18.07374512,MH_12
ECU,2012,12.34043898,MH_12
AFG,2011,7.715561663,MH_12
HRV,2004,14.60720948,MH_12
ERI,2014,10.43673707,MH_12
MKD,2016,7.220821085,MH_12
CHL,2000,10.7987385,MH_12
ARG,2007,3.285237973,MH_12
COD,2020,25.13217457,MH_12
SAU,2012,1.191468997,MH_12
GRC,2019,6.440128104,MH_12
CRI,2020,2.895932464,MH_12
LBY,2011,9.182745179,MH_12
GHA,2000,1.905993611,MH_12
BRA,2010,2.469341775,MH_12
BIH,2013,3.030760484,MH_12
DEU,2005,9.838533551,MH_12
ERI,2021,10.470381,MH_12
BRN,2012,0.919307611,MH_12
GIN,2016,5.73787606,MH_12
TTO,2013,10.59583277,MH_12
AZE,2021,2.373887571,MH_12
TLS,2006,5.458628711,MH_12
