country_name_x,year,mental_health_value,indicator_code,country_name_matched,country_name_y,GDP_per_capita,School_enrollment,Unemployment
IND,2020,13.18385568,MH_12,India,India,1907.04251637669,77.9766433254166,7.859
DOM,2016,1.994241654,MH_12,Dominica,Dominica,8802.56172041363,79.72026252508348,7.757837937420643
TON,2000,4.445178356,MH_12,Estonia,Estonia,4070.60902410208,95.0215377807617,13.36
EGY,2008,0.504992589,MH_12,"Egypt, Arab Rep.","Egypt, Arab Rep.",1896.21594269779,79.72026252508348,8.517
NIC,2020,1.763804049,MH_12,Dominica,Dominica,7827.74842680426,105.181579589844,7.757837937420643
ERI,2018,20.51227715,MH_12,Algeria,Algeria,4577.21029180491,79.72026252508348,12.112
ALB,2017,4.362738064,MH_12,Albania,Albania,5006.36012951959,97.5743697537481,13.616
BRA,2015,2.627382875,MH_12,Brazil,Brazil,8936.1955889444,100.920516967773,8.538
GAB,2013,22.45875811,MH_12,Gabon,Gabon,9197.70106323947,79.72026252508348,19.736
PRI,2021,1.46081217,MH_12,Sao Tome and Principe,Sao Tome and Principe,2362.58827248102,79.72026252508348,9.563
DOM,2002,4.742054637,MH_12,Dominica,Dominica,5488.02784969357,112.225051879883,7.757837937420643
BOL,2011,4.687438219,MH_12,Bolivia,Bolivia,2315.52121930607,85.300407946135,2.255
CZE,2013,4.533814957,MH_12,Czechia,Czechia,20260.4954999375,106.875068664551,6.953
KOR,2009,20.41413833,MH_12,"Korea, Dem. People's Rep.","Korea, Dem. People's Rep.",14722.823314233625,79.72026252508348,3.48
GEO,2006,1.536601198,MH_12,Georgia,Georgia,1996.02013272284,98.6351013183594,13.57
SUR,2006,38.62074333,MH_12,Suriname,Suriname,5002.65798695759,69.8493118286133,9.142
GUY,2004,14.34909298,MH_12,Guyana,Guyana,1033.31030902188,79.72026252508348,11.281
LUX,2019,12.39020759,MH_12,Luxembourg,Luxembourg,112696.649059674,106.946510314941,5.592
PAN,2021,0.979497977,MH_12,Japan,Japan,40094.5599795288,102.155380249023,2.808
COM,2009,12.27733656,MH_12,Comoros,Comoros,1410.30516959473,79.72026252508348,4.303
LVA,2011,34.15949204,MH_12,El Salvador,El Salvador,3330.60049486653,69.7446217742312,4.297
SWE,2021,16.22212849,MH_12,Sweden,Sweden,60647.5416365347,138.688186645508,8.803
IND,2014,18.39450212,MH_12,India,India,1553.88396075118,74.8887023925781,7.656
CAN,2010,16.42157134,MH_12,American Samoa,American Samoa,10375.1720141957,79.72026252508348,7.757837937420643
ECU,2006,4.911562435,MH_12,Ecuador,Ecuador,3243.67010359339,61.9531517028809,3.55
UGA,2020,19.17422973,MH_12,Portugal,Portugal,22299.4044062173,118.68286895752,6.85
TUN,2021,1.188744177,MH_12,Tunisia,Tunisia,3906.93926319391,79.72026252508348,16.632
ARG,2004,8.666014526,MH_12,Argentina,Argentina,4242.02099089422,95.4575576782227,13.522
CYP,2012,9.432686865,MH_12,Cyprus,Cyprus,28991.935546875,95.2998504638672,12.097
NOR,2004,7.017261469,MH_12,North America,North America,40788.4744089861,95.616828918457,5.70124819512877
ISR,2008,8.796788687,MH_12,Israel,Israel,30269.217773489,95.0427474975586,7.704
KIR,2005,6.22586547,MH_12,Kiribati,Kiribati,1161.78341739977,85.8441390991211,7.757837937420643
UGA,2009,21.04788919,MH_12,Portugal,Portugal,23151.2154130712,105.083099365234,9.432
KEN,2009,17.3909166,MH_12,Kenya,Kenya,1047.9678324485,57.7407112121582,2.816
BRA,2001,2.117169393,MH_12,Brazil,Brazil,3176.28975052524,79.72026252508348,10.649
KIR,2002,20.92814057,MH_12,Kiribati,Kiribati,810.10870037444,81.5949478149414,7.757837937420643
ECU,2020,12.13902792,MH_12,Ecuador,Ecuador,5463.64515348598,93.9849491291463,6.116
QAT,2008,1.977308395,MH_12,Qatar,Qatar,80781.4039187792,97.6288604736328,0.31
